Date,Score,MAE
2023-06-01,0.11848126195325426,0.3715775847316459
2023-06-03,0.17777031896936624,0.35644977764338276
2023-06-03,0.14051503108482866,0.3663061007958565
2023-06-04,0.08125436649809248,0.3749823351563942
2023-06-04,0.03404868467602562,0.3713263652041039
2023-06-04,0.11773088718048796,0.3662377539955711
2023-06-04,0.13178132098622775,0.364102293734546
2023-06-04,0.1555396755030677,0.36521319107067485
2023-06-04,0.07170034469684838,0.3958028750893378
2023-06-05,0.13624945627785,0.3688448551561246
2023-06-05,0.18143118103788503,0.3489390645837096
2023-06-05,0.18143118103788503,0.3489390645837096
2023-06-05,0.18143118103788503,0.3489390645837096
2023-06-05,0.17954144140803618,0.3381771200127782
2023-06-05,0.19326601475526284,0.3565581096377136
